regulatoryGene,targetGene,weight
ARHGAP35,BTBD9,0.0338114176410587
ETS2,FOSL2,0.0338086160239067
TFE3,MYO1C,0.0338021390617924
MECOM,SHE,0.0338021365987131
HOXC11,MNX1,0.0337974838941402
MAFK,LMNA,0.0337903261771458
MYBL2,ESCO2,0.0337864495929181
GTF3A,ATP5E,0.0337801814809194
PPARG,RP11-736K20.5,0.0337790524874024
SPI1,BIN2,0.03375307439307
SP5,LINC01124,0.0337414121394481
TFEC,FYB,0.0337375072614543
FOXM1,E2F2,0.0337282103121806
IRF5,CD37,0.0337137633013572
PPARG,NMUR1,0.0336901016510408
IKZF3,TIGIT,0.0336746646123569
